id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.07765E+18,Well appointed 1BR/1BA apartment,122063772,Darcy,,Inner Sunset,37.7590854,-122.4645655,Entire home/apt,117,30,1,4/30/2025,0.24,1,175,1,
1.078E+18,Downtown large and cozy bedroom,122922522,Diego,,South of Market,37.78573913,-122.3950537,Private room,80,30,4,3/30/2025,0.26,8,305,2,
1.07831E+18,Cozy/Safe/View in Bernal Heights,551740930,Piedad Veronica,,Bernal Heights,37.74000359,-122.4178733,Private room,,30,0,,,1,268,0,
1.07844E+18,Luxurious and spacious room,81597039,Marie,,Lakeshore,37.73334,-122.47649,Private room,53,30,0,,,4,209,0,
1.07846E+18,"Private Room In North Beach, SF",351395739,Tony,,North Beach,37.80074,-122.40874,Private room,51,30,3,7/3/2025,0.23,55,168,2,
1.07847E+18,SF Safe Cozy & Bright Rm w/Kitchen/Nr BUS to FIDI,226555948,Gino Angelo Timpog,,Excelsior,37.72529112,-122.40266,Private room,67,120,1,7/1/2024,0.07,13,347,0,
1.07972E+18,Beautiful room in Hayes Valley.,443153876,Helen,,Western Addition,37.774523,-122.4280389,Private room,100,3,15,5/22/2025,0.8,1,126,10,2024-000712STR
1.0799E+18,"New stylish 3B1B upper unit near
beach&GGpark",182770575,Sunny,,Outer Sunset,37.74797101,-122.4900793,Entire home/apt,304,2,109,8/10/2025,5.77,2,239,70,STR-0006775
1.07993E+18,Private Room with Ensuite Bath & Large Patio,339096574,Alekhya,,Western Addition,37.78582,-122.43222,Private room,168,1,0,,,3,118,0,STR-0006096
1.08042E+18,"Deluxe king, luxe Frette linens & courtyard views",557076722,Scott,,Financial District,37.792699,-122.39212,Private room,,1,48,3/23/2025,2.07,9,82,3,Exempt
1.08042E+18,Cityview High Floor Queen with views of the city,557076722,Scott,,Financial District,37.792699,-122.39212,Private room,273,1,22,7/27/2025,1.34,9,94,11,Exempt
1.08042E+18,Deluxe Queen with skyline or courtyard views,557076722,Scott,,Financial District,37.792699,-122.39212,Private room,,1,42,9/15/2024,2.21,9,90,1,Exempt
1.08042E+18,Waterfront Facing Queen with Views of Bay Bridge,557076722,Scott,,Financial District,37.792699,-122.39212,Private room,330,1,4,7/26/2025,0.22,9,92,2,Exempt
1.08042E+18,Prime corner queen room with Malin + Goetz,557076722,Scott,,Financial District,37.792699,-122.39212,Private room,,1,0,,,9,84,0,Exempt
1.08042E+18,Waterfront king with Soundfreaq system & honor bar,557076722,Scott,,Financial District,37.792699,-122.39212,Private room,365,1,7,8/27/2025,0.53,9,96,6,Exempt
1.08043E+18,Accessible king with charcoal and chestnut palette,557076722,Scott,,Financial District,37.792699,-122.39212,Private room,,1,17,7/20/2025,0.24,9,73,10,Exempt
1.08043E+18,"Free continental breakfast, WiFi and ADA size full",557076722,Scott,,Financial District,37.792699,-122.39212,Private room,,1,37,7/21/2025,1.98,9,0,15,Exempt
1.08044E+18,"Full size bed, perfect for solo travelers",557076722,Scott,,Financial District,37.792699,-122.39212,Private room,,1,1,3/17/2024,0.06,9,54,0,Exempt
1.08049E+18,Studio near convention center,37425993,David,,Downtown/Civic Center,37.78846266,-122.4093006,Entire home/apt,,3,1,9/19/2024,0.09,2,0,1,Exempt
1.08051E+18,Rincon Hill 1 BR w/ Office by Anyplace - 11655,415840703,Anyplace,,Financial District,37.7889,-122.39275,Entire home/apt,249,30,0,,,41,235,0,
1.08051E+18,Rincon Hill 1 BR w/ Office by Anyplace - 11659,415840703,Anyplace,,South of Market,37.78662,-122.39278,Entire home/apt,268,30,1,3/23/2025,0.18,41,226,1,
1.08051E+18,Rincon Hill 1 BR w/ Office by Anyplace - 11656,415840703,Anyplace,,South of Market,37.78655,-122.39148,Entire home/apt,,30,1,6/9/2024,0.07,41,191,0,
1.08072E+18,GGH Warm Bed & Breakfast,490194796,William,,Parkside,37.74344194,-122.4737314,Private room,60,30,4,12/21/2024,0.28,2,337,2,
1.08157E+18,Cozy 1BR Near UCSF – Ideal for Nurses & Students,550010557,Fujian,,Outer Sunset,37.7555468,-122.4801492,Entire home/apt,103,31,3,6/8/2025,0.23,3,192,2,
1.08267E+18,Modernized Victorian vibe with classic bay windows,557248761,Hotel Fiona,,South of Market,37.778546,-122.410453,Private room,,1,37,8/17/2025,1.93,2,146,30,Exempt
1.08267E+18,Guild & Pepper bath amenities & courtyard views,557248761,Hotel Fiona,,South of Market,37.778546,-122.410453,Private room,,1,19,8/1/2025,1.27,2,115,18,Exempt
1.08292E+18,"Serenity by the Park , Your Golden Gate Getaway",200874180,Qiao Shi,,Outer Richmond,37.77281317,-122.4865481,Entire home/apt,111,1,120,8/31/2025,6.42,1,118,77,2024-001280str
1.08295E+18,Silver Wood One Bedroom Suite,442698855,Maria Josefina,,Downtown/Civic Center,37.78785255,-122.4193473,Entire home/apt,316,1,35,8/26/2025,1.98,2,140,22,2024-001218STR
1.08408E+18,Boutique Hotel-Like Condo in The Mission,26683198,Carlos,,Mission,37.76818854,-122.4186441,Entire home/apt,135,30,2,6/15/2025,0.13,1,201,1,
1.08423E+18,Knockout Private Room-Central,469250438,Charles,,Western Addition,37.77145121,-122.4305757,Private room,83,1,112,8/26/2025,5.96,4,333,85,2022-008653STR
1.08431E+18,An Awesome Large Private Home!,229685084,Zhi Yuan,,Excelsior,37.72292,-122.42505,Entire home/apt,217,2,9,8/24/2025,0.48,3,76,5,STR-0005097
1.08448E+18,Central Victorian unit,111141,Isabella,,Western Addition,37.7758071,-122.4306759,Entire home/apt,700,1,31,8/11/2025,2.04,1,77,22,2025-003045STR
1.0847E+18,"Blueground | Hayes Valley, retail, yoga & dining",107434423,Blueground,,Downtown/Civic Center,37.777091,-122.419341,Entire home/apt,407,31,0,,,188,222,0,
1.08473E+18,"Blueground | Hayes Valley, pool, walk to tech hqs",107434423,Blueground,,Downtown/Civic Center,37.776701,-122.4192044,Entire home/apt,351,31,1,2/1/2025,0.14,188,51,1,
1.08473E+18,"Blueground | Hayes Valley, theater, nr bars & shop",107434423,Blueground,,Downtown/Civic Center,37.777091,-122.419341,Entire home/apt,353,31,0,,,188,100,0,
1.08499E+18,"Fully-Furnished Rooms in SoMA, San Francisco",351395739,Tony,,South of Market,37.77813369,-122.4064564,Private room,42,30,4,8/9/2025,0.28,55,51,3,
1.08514E+18,308A - 1B1B stylishly convenient,560608092,Lijia,,Outer Richmond,37.78037333,-122.4924866,Entire home/apt,91,30,2,6/25/2025,0.14,2,266,1,
1.08515E+18,308B - 2B2B stylishly convenient,560608092,Lijia,,Outer Richmond,37.78104,-122.49449,Entire home/apt,124,30,7,8/2/2025,0.52,2,205,5,
1.08524E+18,Cozy Retreat in Hayes Valley - Room 3,97286709,Dao,,Western Addition,37.77891,-122.4239,Private room,127,1,16,8/16/2025,2.89,3,361,16,2024-000642STR
1.08564E+18,April - Sept - Furnished Room-Ucsf,21994,Aaron,,Haight Ashbury,37.76682789,-122.4530874,Private room,58,32,1,12/12/2024,0.11,20,269,1,
1.08638E+18,Private Room in San Francisco,2215884,Maja,,Outer Mission,37.73343,-122.43729,Private room,,30,0,,,1,0,0,
1.08667E+18,SF Sunset Retreat: Boutique Hotel in Key Location,542041520,Ronald Alan,,Western Addition,37.78939688,-122.4224212,Private room,,3,1,3/9/2025,0.17,264,365,1,Exempt
1.08698E+18,Double Queen Room with Tranquil courtyard,557247887,SOMA House,,South of Market,37.778818,-122.410143,Private room,,1,69,8/28/2025,3.89,2,146,52,Exempt
1.08699E+18,"Deluxe King Bed, Free WiFi and heated rooftop pool",557247887,SOMA House,,South of Market,37.778818,-122.410143,Private room,110,1,67,8/23/2025,3.53,2,132,43,Exempt
1.08704E+18,Enjoy skyline views from sister property rooftop,557248438,Garrett Hotel,,South of Market,37.778904,-122.410922,Private room,,1,13,8/13/2025,0.73,1,131,9,Exempt
1.08718E+18,Comfy  Value Lodging @ Union Sq 3 w Cancel Refunds,2676835,Luis Higinio,,Financial District,37.78923,-122.40693,Private room,,1,3,4/20/2024,0.17,24,270,0,Exempt
1.08723E+18,Chic Hotel Room | Prime SF Location!,542041520,Ronald Alan,,Western Addition,37.78905,-122.42237,Private room,,3,2,4/2/2024,0.11,264,365,0,Exempt
1.08744E+18,Modern Comfort: Deluxe Room with Ensuite in SF,542041520,Ronald Alan,,Western Addition,37.78763765,-122.4220925,Private room,263,3,0,,,264,365,0,Exempt
1.08749E+18,Luxury Stay: Room with Bathroom in SF's Heart,542041520,Ronald Alan,,Western Addition,37.78935,-122.42266,Private room,,3,0,,,264,365,0,Exempt
1.08775E+18,Urban SF Retreat: Hotel Room with Private Bathroom,542041520,Ronald Alan,,Nob Hill,37.78960109,-122.4220964,Private room,,3,1,3/18/2024,0.06,264,365,0,Exempt
1.08779E+18,Apt with parking in sunset,3041425,Milana,,Lakeshore,37.73252,-122.47547,Entire home/apt,134,2,42,8/24/2025,2.56,1,174,28,2024-002335STR
1.08788E+18,City Escape: Room with Private Bath in SF,542041520,Ronald Alan,,Western Addition,37.78756,-122.42263,Private room,263,3,6,1/24/2025,0.34,264,365,5,Exempt
1.08788E+18,Comfy Value Lodgings @ Union Sq 4 w Cancel Refunds,2676835,Luis Higinio,,Chinatown,37.79102618,-122.4067225,Private room,,1,2,8/15/2025,0.12,24,212,1,Exempt
1.08869E+18,Urban SF Retreat: Hotel Room with Private Bathroom,542041520,Ronald Alan,,Western Addition,37.78940802,-122.4222905,Private room,,3,1,5/13/2025,0.27,264,349,1,Exempt
1.0887E+18,Golden Gate Oasis: Modern & Cozy,560790028,Christian,,Pacific Heights,37.79442,-122.44469,Entire home/apt,1699,4,8,6/3/2025,0.57,4,243,5,2024-001096STR
1.08876E+18,SF Sunset Retreat: Boutique Hotel in Key Location,542041520,Ronald Alan,,Western Addition,37.78921341,-122.4224065,Private room,,3,0,,,264,365,0,Exempt
1.08954E+18,Cozy 1BR with Private Bath | Prime SF Location!,542041520,Ronald Alan,,Western Addition,37.78741158,-122.4220905,Private room,,3,0,,,264,365,0,Exempt
1.09003E+18,1 BDR Presidential Condo Wyndham,14269516,Kelly,,Downtown/Civic Center,37.78787003,-122.4117213,Private room,,1,0,,,2,0,0,Exempt
1.09014E+18,Comfy Value Lodging@ Union Sq 6,2676835,Luis Higinio,,Chinatown,37.79151448,-122.4068202,Private room,,1,2,2/24/2025,0.16,24,270,1,Exempt
1.09019E+18,Lovely Private Room In The Heart Of Downtown,542041520,Ronald Alan,,Nob Hill,37.78947,-122.42199,Private room,,2,6,3/9/2025,0.6,264,365,6,Exempt
1.09022E+18,Modern Comfort: Deluxe Room with Ensuite in SF,542041520,Ronald Alan,,Nob Hill,37.7887632,-122.420751,Private room,263,3,8,5/25/2025,0.43,264,365,5,Exempt
1.09027E+18,One bedroom garden apartment,5424774,Pearl,,Bernal Heights,37.7367426,-122.4155237,Entire home/apt,110,30,0,,,1,251,0,
1.09036E+18,"Blueground | Rincon Hill, pool & Yoga, nr tech hub",107434423,Blueground,,South of Market,37.7873984,-122.3923904,Entire home/apt,405,31,0,,,188,240,0,
1.09081E+18,Soma Flat,543180975,Irma,,South of Market,37.7747055,-122.4117842,Entire home/apt,245,30,16,2/1/2025,0.91,1,269,8,2024-001533STR
1.09125E+18,Mission Brand New Home w Rooftop,1257432,San Francisco Life,,Mission,37.76841395,-122.4208888,Entire home/apt,,30,2,6/30/2025,0.19,29,9,2,
1.0921E+18,Bedroom/Bathroom in Pac Heights,46937755,Nicola,,Pacific Heights,37.79157411,-122.4432216,Entire home/apt,239,2,10,8/17/2025,0.58,1,289,1,STR-0006327
1.09244E+18,Cozy Modern Charm in the Heart of Laurel Heights,165225,Izumi,,Presidio Heights,37.7844205,-122.4503038,Entire home/apt,170,2,58,8/23/2025,3.2,1,123,34,STR-0007235
1.0926E+18,The Crown Jewel Suite 1,986510,Eric,,Russian Hill,37.79868596,-122.4160498,Private room,252,1,28,8/29/2025,1.58,3,254,19,STR-0006140
1.09272E+18,"Blueground | Hayes Valley, balcony, gym, nr dining",107434423,Blueground,,South of Market,37.7715915,-122.4185191,Entire home/apt,,31,1,7/6/2024,0.07,188,305,0,
1.09296E+18,Private Garden Apartment,324377119,Lauren,,Inner Richmond,37.78576,-122.46474,Entire home/apt,261,2,6,8/17/2025,1.55,1,277,6,2024-001429STR
1.09372E+18,Modern 2B/1B Top Floor Portola Apartment,562588639,Lynn,,Excelsior,37.73174,-122.41268,Entire home/apt,,5,5,11/17/2024,0.3,1,0,4,2024-001489STR
1.09432E+18,Renaissance Retreat: Studio ADA King The Donatello,514017852,Jesse,,Downtown/Civic Center,37.78841,-122.41127,Entire home/apt,251,2,0,,,7,8,0,Exempt
1.0944E+18,San Fran at Filbert with Parking,56874549,Fatima,,Marina,37.79833,-122.4273,Entire home/apt,119,31,4,8/10/2025,0.39,3,310,4,
1.09444E+18,Bernal Heights Gem,1415656,Sanaz,,Bernal Heights,37.74149085,-122.4090883,Entire home/apt,,30,0,,,1,0,0,
1.0945E+18,Comfy Value Lodging @ Union Sq 3a,2676835,Luis Higinio,,Financial District,37.78951728,-122.4052208,Private room,,1,2,4/27/2025,0.12,24,270,1,Exempt
1.09471E+18,Chic 1BR with Private Bath | Prime SF Location!,542041520,Ronald Alan,,Western Addition,37.78922,-122.42254,Private room,,3,0,,,264,365,0,Exempt
1.09513E+18,Comfy Value Lodging @ Union Sq 4a,2676835,Luis Higinio,,Chinatown,37.79151578,-122.4070961,Private room,,1,3,5/19/2024,0.17,24,270,0,Exempt
1.09525E+18,2234 - fully set up comfort 3B1B fits 7,562978823,Linda,,Parkside,37.74455725,-122.4959722,Entire home/apt,188,1,91,8/22/2025,4.98,1,239,58,2024-001432STR
1.09587E+18,Comfy Value Lodging @ Union Sq 3b,2676835,Luis Higinio,,Financial District,37.79011696,-122.4051107,Private room,,1,0,,,24,270,0,Exempt
1.09649E+18,California Dreamin San Francisco,33508000,Jamie & Lisa,,Downtown/Civic Center,37.78945,-122.4115,Entire home/apt,,3,2,3/18/2025,0.12,2,0,1,Exempt
1.09679E+18,Studio In a Victorian Style Home,13832870,International,,Western Addition,37.7891,-122.42912,Entire home/apt,91,30,0,,,21,244,0,
1.09709E+18,Bungalow Next to Bernal Heights!,563417806,Tatiana,,Bernal Heights,37.74299168,-122.4155707,Entire home/apt,,2,13,8/11/2025,0.73,1,0,7,2024-002128STR
1.09711E+18,Affordable Hotel Room in San Francisco's Downtown,542041520,Ronald Alan,,Nob Hill,37.78945,-122.42083,Private room,,2,0,,,264,365,0,Exempt
1.09714E+18,Hayes Valley Victorian Courtyard Room,2513762,Trey,,Western Addition,37.77184625,-122.425942,Private room,100,30,0,,,4,176,0,
1.09715E+18,Comfortable Hotel Room In the Heart of the City,542041520,Ronald Alan,,Western Addition,37.78745443,-122.4225829,Private room,263,3,0,,,264,365,0,Exempt
1.09718E+18,Efficient and Comfortable Downtown Hotel Room,542041520,Ronald Alan,,Downtown/Civic Center,37.78724,-122.42127,Private room,310,3,3,5/17/2025,0.42,264,365,3,Exempt
1.09721E+18,Work and Relax in Cozy Hotel Room in Downtown,542041520,Ronald Alan,,Downtown/Civic Center,37.78793279,-122.4205576,Private room,263,3,0,,,264,365,0,Exempt
1.0973E+18,Cozy Room & Convenient Location,115436361,Jenny,,Potrero Hill,37.7536444,-122.3996944,Private room,151,2,8,9/30/2024,0.45,1,115,2,2024-000144STR
1.09733E+18,Comfy Value Lodging @ Union Sq 8,2676835,Luis Higinio,,Chinatown,37.79142,-122.40509,Private room,,1,3,7/5/2025,0.17,24,270,1,Exempt
1.09743E+18,Efficient and Comfortable Downtown Retreat in SF,542041520,Ronald Alan,,Downtown/Civic Center,37.78735146,-122.4212883,Private room,263,3,0,,,264,365,0,Exempt
1.09761E+18,Spacious Hotel Room for Couple in Central Downtown,542041520,Ronald Alan,,Downtown/Civic Center,37.78734787,-122.4212222,Private room,263,3,0,,,264,365,0,Exempt
1.09777E+18,Romantic Getaway for Two in the Heart of Downtown,542041520,Ronald Alan,,Nob Hill,37.78947168,-122.4213417,Private room,,3,1,6/13/2025,0.37,264,359,1,Exempt
1.09788E+18,Comfy Hotel Room in the Heart of Downtown,542041520,Ronald Alan,,Nob Hill,37.78930782,-122.4210307,Private room,310,3,0,,,264,365,0,Exempt
1.09789E+18,Boutique Retreat in the City of San Francisco,542041520,Ronald Alan,,Downtown/Civic Center,37.78727349,-122.4206896,Private room,,3,1,3/31/2025,0.19,264,365,1,Exempt
1.09791E+18,Affordable and Charming Boutique Hotel In Downtown,542041520,Ronald Alan,,Nob Hill,37.78945,-122.4221,Private room,,3,1,3/11/2025,0.17,264,365,1,Exempt
1.09792E+18,Charming and Cozy Hotel Room In SF Downtown,542041520,Ronald Alan,,Western Addition,37.78927,-122.42226,Private room,263,3,0,,,264,365,0,Exempt
1.09797E+18,Midway between Golden Gate & Fisherman’s Wharf,563629544,Cow Hollow Inn,,Marina,37.79972,-122.43743,Private room,,1,0,,,5,0,0,Exempt
1.09804E+18,"Convenient place S.Market ,Transp.near by, 9C3",9219277,Henry,,Parkside,37.74333557,-122.476701,Private room,59,30,3,5/31/2025,0.19,14,256,2,
1.0981E+18,SF Stay in Comfort,33508000,Jamie & Lisa,,Nob Hill,37.79001433,-122.4129676,Entire home/apt,250,3,0,,,2,58,0,Exempt
1.09811E+18,Mid-Century Modern w Roof Deck,13832870,International,,Pacific Heights,37.7932,-122.42334,Entire home/apt,228,30,0,,,21,243,0,
1.09864E+18,San Francisco Central City Chic,9518141,Virginia,,Downtown/Civic Center,37.78926328,-122.4115118,Entire home/apt,,3,0,,,3,0,0,Exempt
1.09913E+18,Urban SF Retreat: Hotel Room with Private Bathroom,542041520,Ronald Alan,,Nob Hill,37.78951734,-122.421094,Private room,,3,10,2/17/2025,0.59,264,360,9,Exempt
1.09958E+18,Modern Living apartment,3399200,Vladimir,,Western Addition,37.7851,-122.43569,Entire home/apt,,4,9,5/10/2025,0.75,1,0,9,STR-0007146
1.10004E+18,Restored Victorian gem cross from Golden Gate Park,545628703,Stanyan Park Hotel,,Haight Ashbury,37.76807,-122.4533,Private room,,1,143,7/31/2025,8.17,2,0,112,Exempt
1.10004E+18,Elegant Victorian style with evening wine,545628703,Stanyan Park Hotel,,Haight Ashbury,37.76807,-122.4533,Private room,,1,14,8/26/2025,0.83,2,61,11,Exempt
1.10013E+18,Marriott Vacation Club Resort Pulse San Francisco,336576760,Tim,,North Beach,37.80608,-122.41804,Private room,,1,1,5/10/2024,0.06,2,268,0,Exempt
1.1005E+18,"Beautiful apartment mins to CPMC, USF, UCSF,Kaiser",384479496,Randy Wingman,,Inner Richmond,37.78458,-122.47023,Entire home/apt,228,32,1,3/6/2025,0.17,2,101,1,
1.10092E+18,Comfy Value Lodging @ Union Sq1c,2676835,Luis Higinio,,Downtown/Civic Center,37.78952,-122.40711,Private room,,1,0,,,24,270,0,Exempt
1.10112E+18,Sunny Furnished room/sink UCSF/USF -SFH,21994,Aaron,,Haight Ashbury,37.76486243,-122.451489,Private room,,32,0,,,20,269,0,
1.1015E+18,Golden Gate Getaway,43438895,Sara,,Outer Richmond,37.77493303,-122.481778,Entire home/apt,,3,10,10/26/2024,0.55,1,0,5,STR-0006212
1.10158E+18,"SalesForce Dream Week, Oct 14-17 Marriott SF Pulse",276650338,Bob,,North Beach,37.8054714,-122.4168419,Private room,395,3,1,9/19/2024,0.09,1,3,1,Exempt
1.10159E+18,Spacious and charming 1bd apartment on Ocean Beach,2880714,Nicholas Charney,,Outer Sunset,37.7460651,-122.5073465,Entire home/apt,174,3,68,8/23/2025,4.36,1,294,48,STR-0005796
1.10216E+18,Fully Furnished Rooms Central North Beach,351395739,Tony,,Chinatown,37.79771193,-122.4071661,Private room,37,30,4,5/11/2025,0.31,55,264,3,
1.10221E+18,Book-filled Writer’s Alcove in the lobby,562404928,Hotel Emblem San Francisco,,Downtown/Civic Center,37.78924,-122.40974,Private room,191,1,82,8/18/2025,4.83,1,99,64,Exempt
